"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 02 00:27:32 GMT 2024","Thu May 02 00:27:32 GMT 2024","577","","","","","","Validate Council Output [LiverpoolCityCouncil-None-None]",""
"passed","Thu May 02 00:30:35 GMT 2024","Thu May 02 00:30:37 GMT 2024","1852","","","","","","Validate Council Output [TonbridgeAndMallingBC-None-None]",""
"failed","Thu May 02 00:26:07 GMT 2024","Thu May 02 00:26:31 GMT 2024","24269","","","","","","Validate Council Output [CheshireWestAndChesterCouncil-http://selenium:4444-local]",""
"passed","Thu May 02 00:28:12 GMT 2024","Thu May 02 00:28:14 GMT 2024","2376","","","","","","Validate Council Output [NewportCityCouncil-None-None]",""
"passed","Thu May 02 00:26:57 GMT 2024","Thu May 02 00:27:08 GMT 2024","11075","","","","","","Validate Council Output [BromleyBoroughCouncil-http://selenium:4444-local]",""
"passed","Thu May 02 00:29:54 GMT 2024","Thu May 02 00:30:03 GMT 2024","8808","","","","","","Validate Council Output [SomersetCouncil-None-None]",""
"passed","Thu May 02 00:27:45 GMT 2024","Thu May 02 00:27:48 GMT 2024","2264","","","","","","Validate Council Output [ErewashBoroughCouncil-None-None]",""
"passed","Thu May 02 00:30:04 GMT 2024","Thu May 02 00:30:06 GMT 2024","1553","","","","","","Validate Council Output [SouthCambridgeshireCouncil-None-None]",""
"failed","Thu May 02 00:26:43 GMT 2024","Thu May 02 00:26:44 GMT 2024","970","","","","","","Validate Council Output [BradfordMDC-None-None]",""
"passed","Thu May 02 00:26:52 GMT 2024","Thu May 02 00:26:54 GMT 2024","1124","","","","","","Validate Council Output [DoncasterCouncil-None-None]",""
"failed","Thu May 02 00:31:00 GMT 2024","Thu May 02 00:31:00 GMT 2024","146","","","","","","Validate Council Output [WelhatCouncil-None-None]",""
"passed","Thu May 02 00:27:53 GMT 2024","Thu May 02 00:27:54 GMT 2024","777","","","","","","Validate Council Output [MansfieldDistrictCouncil-None-None]",""
"passed","Thu May 02 00:26:39 GMT 2024","Thu May 02 00:26:43 GMT 2024","4175","","","","","","Validate Council Output [BoltonCouncil-http://selenium:4444-local]",""
"passed","Thu May 02 00:30:25 GMT 2024","Thu May 02 00:30:26 GMT 2024","833","","","","","","Validate Council Output [TelfordAndWrekinCouncil-None-None]",""
"passed","Thu May 02 00:26:43 GMT 2024","Thu May 02 00:26:44 GMT 2024","701","","","","","","Validate Council Output [BCPCouncil-None-None]",""
"passed","Thu May 02 00:32:24 GMT 2024","Thu May 02 00:32:31 GMT 2024","7334","","","","","","Validate Council Output [RenfrewshireCouncil-http://selenium:4444-local]",""
"passed","Thu May 02 00:26:49 GMT 2024","Thu May 02 00:26:50 GMT 2024","589","","","","","","Validate Council Output [EastDevonDC-None-None]",""
"passed","Thu May 02 00:26:55 GMT 2024","Thu May 02 00:26:58 GMT 2024","2094","","","","","","Validate Council Output [DoverDistrictCouncil-None-None]",""
"failed","Thu May 02 00:29:13 GMT 2024","Thu May 02 00:29:14 GMT 2024","911","","","","","","Validate Council Output [MidSussexDistrictCouncil-None-None]",""
"passed","Thu May 02 00:29:36 GMT 2024","Thu May 02 00:29:57 GMT 2024","20727","","","","","","Validate Council Output [PortsmouthCityCouncil-http://selenium:4444-local]",""
"passed","Thu May 02 00:27:02 GMT 2024","Thu May 02 00:27:04 GMT 2024","1930","","","","","","Validate Council Output [CharnwoodBoroughCouncil-None-None]",""
"passed","Thu May 02 00:29:36 GMT 2024","Thu May 02 00:29:37 GMT 2024","1457","","","","","","Validate Council Output [OldhamCouncil-None-None]",""
"passed","Thu May 02 00:26:44 GMT 2024","Thu May 02 00:26:46 GMT 2024","1844","","","","","","Validate Council Output [BedfordBoroughCouncil-None-None]",""
"failed","Thu May 02 00:30:14 GMT 2024","Thu May 02 00:30:15 GMT 2024","781","","","","","","Validate Council Output [StHelensBC-None-None]",""
